Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Midlands,Gokwe South,Gokwe South,Chemahororo Clinic,Chemahororo - 100156 - Clinic,ZsERKMysaqk,ZW070325,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Masvingo,Gutu,Gutu,Chepiri Clinic,Chepiri - 100160 - Clinic,zDO70UxzQ52,ZW080436,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Cheshuro Clinic,Cheshuro - 100161 - Clinic,BXwx8ekYJ5Z,ZW080425,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Cheziya Clinic,Cheziya - 100162 - Clinic,g7fNiqyS7WV,ZW070313,ZW07,,,,,10.54.23.3,ZHI,RDC,Rural Council,Urban,Primary,
Manicaland,Mutare,Mutare,Chiadzwa Rural Health Centre,Chiadzwa - 100163 - Rural Health Centre,eN6ckU5zhfE,ZW010502,ZW01,,,,,,ZHI,RHC,Government,Rural,Primary,Open
Mash West,Hurungwe,Hurungwe,Chibara Clinic,Chibara - 100164 - Clinic,Xd4a7sESJGm,ZW040208,ZW04,,,,,,ZIMTTECH,RDC,RDC,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,CHIBULI,Chibuli-100291- Clinic,DDwUEgfOmvA,ZW020509,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Chibuwe Clinic,Chibuwe - 100167 - Clinic,q8w6UsNPbMG,ZW010325,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Chidamoyo Mission Hospital,Chidamoyo - 100169 - Mission Hospital,BE3pL9m9Z4E,ZW04020D,ZW04,,,,,10.67.5.5,ZIMTTECH,Mission Hospital,Mission,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Chidembeko Clinic,Chedembeko - 100151 - Clinic,n7JrJFbZSSY,ZW070627,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Chidodo Clinic,Chidodo - 100172 - Clinic,rWvbpl1s0VR,ZW020841,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Chiedza Clinic,Chiedza - 100176 - Clinic,dySKWJvcCwO,ZW070640,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Chivi,Chivi,Chigwikwi Rural Health Centre,Chigwikwi - 100179 - Rural Health Centre,uCEsnsec9SL,ZW080302,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Chikafa Clinic,Chikafa - 100181 - Clinic,taDfBHcDo5L,ZW020830,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Manicaland,MutareCity,Mutare,Chikanga Clinic,Chikanga - 100182 - Clinic,Tj9XAHdTx71,ZW010562,ZW01,,,,,192.168.10.2,ZHI,General Hospital,Town/City Council,Urban,Primary,Open
Mash West,Chegutu,Chegutu,Chikara Clinic,Chikara - 100185 - Council Clinic,RVYnJsBSZmq,ZW040125,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mash West,Zvimba,Zvimba,Chikeya RDC Clinic,Chikeya RDC Clinic,NrhA1Nka0Xj,ZW040795,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Peri-Urban,Primary,RURAL
Masvingo,Chiredzi,Chiredzi,Chikombedzi Mission Hospital,Chikombedzi - 100188 - Hospital,ezd2O5cLGKR,ZW08020B,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Mission Hospital,Mission,Rural,Secondary,Open
Mashonaland West,Makonde,Makonde,Chikonohono Munic Clinic,Chikonohono - 100190 - Clinic,Sad5NyxeroB,ZW040462,ZW04,,,,,,ZIMTTECH,RHC,Town/City Council,Urban,Primary,Open
Manicaland,Chipinge,Chipinge,Chikore Mission Hospital,Chikore - 100191 - Mission Hospital,nnTF3x2k1Nj,ZW01030B,ZW01,,,,,,,Mission Hospital,Mission,Rural,Primary,Open
Mashonaland East,UMP,UMP,Chikuhwa Clinic,Chikuhwa - 100193 - Rural Health Centre,XaZlii1RoeN,ZW030326,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mashonaland East,Goromonzi,Goromonzi,Chikwaka Rural Hospital,Chikwaka - 100198 - Rural Hospital,il3zin8lfAX,ZW03020D,ZW03,,,,,192.168.10.1,ZIMTTECH,Rural Hospital,Government,Rural,Hospital,Active
Manicaland,Mutare,Mutare,Chikwariro Clinic,Chikwariro - 100201 - Mission Hospital,Ju7yjwNpnZc,ZW010591,ZW01,,,,,192.168.10.1,ZHI,Mission Clinic,Mission,Rural,Primary,Open
Midlands,Gweru,Gweru,Chikwingwizha Mission Hospital,Chikwingwizha - 100203 - Mission Clinic,PTsDqlRpf06,ZW07040C,ZW07,,,,,10.54.3.5,ZHI,Mission Hospital,Mission,Rural,Secondary,
Midlands,Gweru,Gweru,Child Welfare Clinic,Child Welfare - 100205 - Clinic,JRHi4DxHO3h,ZW070469,ZW07,,,,,192.168.10.1,ZHI,RHC,Town/City Council,Urban,Primary,
Masvingo,Chiredzi,Chiredzi,Chilonga Rural Health Centre,Chilonga - 100206 - Clinic,kOc9rm7UnpQ,ZW080202,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Chimbudzi Rural Health Centre,Chimbudzi - 100211 - Clinic,bA0TiXkTzDI,ZW080601,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Mashonaland East,Marondera,Marondera,Chimbwanda Rural Health Centre,Chimbwanda - 100212 - Rural Health Centre,RmTXZhMHgQJ,ZW030502,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Masvingo,Gutu,Gutu,Chimombe Rural Hospital,Chimombe - 100215 - Rural Hospital,kaYiMIvMi6q,ZW08040B,ZW08,,,,,10.39.6.2,OPHID/Kapinek,Rural Hospital,Government,Rural,Primary,Open
Midlands,Gweru,Gweru,Chinamasa Clinic,Chinamasa - 100217 - Clinic,TqCxTt2cnSm,ZW070424,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,,Open
