Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Mashonaland East,Marondera,Marondera,Kushinga Phikhelela Rural Health Centre,Kushinga Phikelela - 100749 - Clinic,f4uKZhvCUTc,ZW030504,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Government,Rural,clinic,Active
Mashonaland West,Zvimba,Zvimba,Kutama RDC Clinic,Kutama - 100750 - Council Clinic,SZfZ586Bl1Q,ZW040743,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Peri-Urban,Primary,RURAL
Mashonaland West,Zvimba,Zvimba,Kuwadzana RDC Clinic,Kuwadzana Phase 4 -101851- Clinic,dArzb8heLtw,ZW040744,ZW04,,,,,,,RDC,Rural Council,Urban,Primary,TOWN
Harare,Harare,Harare,Kuwadzana Satelite Clinic,Kuwadzana - 100020- Satelite clinic,AFJhfhk8nbn,ZW000A68,ZW00,,,,,172.16.37.3,Zimtech,,,,,
Midlands,Kwekwe,Kwekwe,Kwekwe General Hospital,Kwekwe - 100754 - District Hospital,nThW8r8MZtE,ZW07050A,ZW07,,,,,10.54.11.5,ZHI,General Hospital,Government,Urban,Secondary,
Matabeleland South,Bulilima,Bulilima,Lady Barring Rural Hospital,Lady Barring - 100755 - Mission Hospital,XdWdQRJn9Py,ZW06020B,ZW06,,,,,,Ophid,Rural Hospital,Government,Rural,,
Matabeleland South,Bulilima,Bulilima,Lady Stanley Rural Hospital,Lady Stanley - 100756 - Mission Hospital,Orr1ircj1n9,ZW06020C,ZW06,,,,,,Ophid,Rural Hospital,Government,Rural,,
Matabeleland North,Lupane,Lupane,Lake-Alice Clinic,Lake Alice - 101888 - Clinic,gVkObbofnxN,ZW050428,ZW05,,,,,192.168.10.1,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Manicaland,Mutare,Mutare,Leekuil Takunda Clinic,Lee Kul - 100765 - Clinic,s4fE8Jt1g4L,ZW010521,ZW01,,,,,192.168.10.2,ZHI,RHC,Government,Rural,Primary,Open
Mash West,Zvimba,Zvimba,Lospen Farming Clinic,Lospen - 100770 - Clinic,yuR56N38Nr1,ZW040735,ZW04,,,,,,ZIMTTECH,IDH,Private,Peri-Urban,Primary,RURAL
Midlands,Gweru,Gweru,Lower Gweru clinic,Lower Gweru - 100772 - Mission Clinic,tdC1z2GmRLr,ZW070491,ZW07,,,,,,,RHC,Government,Rural,Primary,
Matabeleland North,Umguza,Umguza,Lozikeyi Clinic,Lozikeyi - 100773 - Clinic,nK7XPhMtABa,ZW050724,ZW05,,,,,,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Masvingo,Mwenezi,Mwenezi,Lundi Clinic,Lundi - 100778 - Clinic,uZxyGTs0zwb,ZW080692,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Mission,Rural,Secondary,Open
Matabeleland North,Lupane,Lupane,Lupaka Clinic,Lupaka - 100780 - Clinic,vEbJJckDzFK,ZW050407,ZW05,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland North,Lupane,Lupane,Lupane Rural Health Centre,Lupane - 100781 - Rural Health Centre,l0QLIoY6x80,ZW050406,ZW05,,,,,10.89.21.3,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Gwanda,Gwanda,Lushongwe Clinic,Lushongwe - 100783 - Clinic,nWY5DVISxvp,ZW060333,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland East,Marondera,Marondera,Lustleigh Council Clinic,Lustliegh - 100784 - Clinic,VtpGw8NPT7u,ZW030530,ZW03,,,,,,ZIMTTECH,RHC,Government,Rural,clinic,Active
Bulawayo,Emakandeni,Bulawayo,Luveve Clinic,Luveve - 100786 - Clinic,Sss3M30PqRD,ZW090A06,ZW09,,,,,10.9.5.3,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Mash West,Hurungwe,Hurungwe,Lynx Clinic,Lynx - 100788 - Clinic Private Clinic,ASp1TgIA8zi,ZW040275,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Chivi,Chivi,ma Chidyamakono Clinic,Chidyamakono - 101913 - Clinic,t0FJDGAu6fL,ZW080335,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Gweru,Gweru,Maboleni Clinic,Maboleni - 100793 - Clinic,BiLbWhqc5wO,ZW070426,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Matabeleland South,Insiza,Insiza,Mabuze Rural Health Centre,Mabuze - 100795 - Rural Health Centre,ZzNvcMVOVP3,ZW060404,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Mashonaland East,Murewa,Murewa,Macheke Clinic,Macheke - 100799 - Clinic,cdZowZBWgqY,ZW030745,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Masvingo,Zaka,Zaka,Machiva,Machiva Clinic,lV9XsdZFQJO,ZW080742,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Matabeleland South,Mangwe,Mangwe,Macingwana ,Macingwana RHC,qKa0cqfK6cB,ZW060735,ZW06,,,,,192.168.10.1,Ophid,Mission Clinic,Mission,Rural,,
Matabeleland South,Mangwe,Mangwe,Madabe Clinic,Madabe - 100800 - Clinic,jPcuTzdshv2,ZW060727,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Masvingo,Chivi,Chivi,Madamombe Clinic,Madamombe Clinic,xHLQ0UWCPsR,ZW080327,ZW08,,,,,,,RDC,Rural Council,Rural,Clinic,Active
Manicaland,Chipinge,Chipinge,Madhuku Clinic,Madhuka - 100805 - Rural Health Centre,xvTQ8nB5Mvj,ZW010329,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Gweru,Gweru,Madikani Clinic,Madhikani - 100804 - Clinic,iGoaM56EbBM,ZW070427,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Matabeleland South,Bulilima,Bulilima,Madlambudzi Clinic,Madlambuzi - 100807 - Clinic,mJIpxNdl2QY,ZW060228,ZW06,,,,,,Ophid,RDC,Rural Council,Rural,,
Matabeleland North,Tsholotsho,Tsholotsho,Madlangombe Clinic,Madlangombe - 100809 - Clinic,NfpobInYMG8,ZW050629,ZW05,,,,,,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Manicaland,Buhera,Buhera,Madzimbashuro,Madzimbashuro - 100810 - Rural Health Centre,snbgbGRWH3K,ZW010103,ZW01,,,,,192.168.10.2,ZHI,RHC,Government,Rural,Primary,Open
Masvingo,Chivi,Chivi,Madzivadondo Clinic,Madzivadondo - 100813 - Clinic,XxCEgT27X8h,ZW080319,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Mashonaland West,Zvimba,Zvimba,Madzorera RDC Clinic,Madzorera - 100817 - Clinic,FsqaXprbYyV,ZW040728,ZW04,,,,,,,RDC,Rural Council,Rural,Primary,RURAL
Mash West,Mhondoro,Mhondoro,Mafindifindi - 100818 - Council Clinic,Mafindifindi - 100818 - Council Clinic,neFCRmV8iZJ,ZW040520,ZW04,,,,,,ZIMTTECH,,,,,
Mash West,Chegutu,Chegutu,Mafuti Clinic,Mafuti - 100819 - Clinic,muDJAiQ8Ap8,ZW040179,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Zaka,Zaka,Mageza Clinic,Mageza - 100820 - Rural Health Centre,j242MePofT5,ZW080740,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Magombedze Chitsa Clinic,Magombedze Chitsa Rural Health Centre,bNtcLJVMOwP,ZW080435,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Magombedze Clinic,Magombedze - 100822 - Clinic,jXnqxdI0Xk4,ZW080428,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Bulawayo,Emakandeni,Bulawayo,Magwegwe Clinic,Magwegwe - 100824 - Clinic,FEdl2EBiTBV,ZW090A07,ZW09,,,,,10.9.6.3,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Bulawayo,Northern Surbubs,Bulawayo,Mahatshula Private Clinic,Mahatshula Private Clinic,ZW010347,ZW090A66,ZW09,,,,,,,Clinic,Private,Urban,Primary,Open
Mashonaland East,Marondera,Marondera,Mahusekwa District Hospital,Mahusekwa - 100829 - Hospital,YBLoHaAmcFN,ZW03050C,ZW03,,,,,10.79.3.252,ZIMTTECH,RHC,Government,Rural,District Hospital,Active
Mashonaland Central,Mbire,Mbire,Mahuwe Clinic,Mahuwe - 100830 - Clinic,ar7ptby0gUw,ZW020833,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Majada Rural Health Centre,Majarada - 100833 - Rural Health Centre,ys2RKCMd2KW,ZW080402,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Matabeleland North,Bubi,Bubi,Majiji Clinic,Majiji - 100834 - Clinic,htZ51X0NqzW,ZW050228,ZW05,,,,,,,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Beitbridge,Beitbridge,Majini Rural Health Centre,Majini - 100835 - Rural Health Centre,HLtonOYJwWn,ZW060104,ZW06,,,,,10.84.37.3,Ophid,RHC,Government,Rural,,
Masvingo,Chiredzi,Chiredzi,Makambe Clinic,Makambe - 100839 - Clinic,rBSC8oca3nk,ZW080234,ZW08,,,,,,,RHC,Mission,Rural,Primary,Open
Mashonaland East,Seke,Seke,Makanyazingwa Clinic,Makanyazingwa Clinic,U1AEf47KS9d,ZW030923,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Midlands,Gweru,Gweru,Makepesi Clinic,Makepesi - 100844 - Clinic,GCjrq7GWU3O,ZW070428,ZW07,,,,,10.54.28.3,ZHI,RDC,Rural Council,Rural,Primary,
Matabeleland North,Tsholotsho,Tsholotsho,Makhaza Rural Health Centre,Makaza - 100843 - Rural Health Centre,FglkSfTl6l0,ZW050603,ZW05,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Makhulela Rural Health Centre,Makhuleka - 100846 - Clinic,QPHAMe5GEWA,ZW060204,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland West,Makonde,Makonde,Makonde Christ Hosp,Makonde Christian - 100848 - Mission Hospital,OkTXq7ukdO3,ZW04040D,ZW04,,,,,,ZIMTTECH,Mission Hospital,Mission,Rural,Secondary,Open
Manicaland,Makoni,Makoni,Makoni Rural Hospital,Makoni - 100849 - Rural Hospital,uWhfHwNDemw,ZW01040C,ZW01,,,,,,,Rural Hospital,Government,Rural,Primary ,Open
Mashonaland Central,Mazowe,Mazowe,MAKOPE,Makope - 100850 - Clinic,JHROECLEsrH,ZW020428,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Rural,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Makumbe District Hospital,Makumbe - 100853 - District Hospital,jAfJAli9ZVn,ZW03020A,ZW03,,,,,10.79.9.131,ZIMTTECH,District Hospital,Government,Rural,District Hospital,Active
Mash West,Hurungwe,Hurungwe,Makuti Rural Health Centre,Makuti - 100856 - Clinic,BXe2ZvJYQGz,ZW040233,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Makuwerere Clinic,Makuwerere - 100857 - Clinic,bAlZzNKhdBr,ZW070629,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Gwanda,Gwanda,Makwe RHC,Makwe - 100859 - Rural Health Centre,MfChw9iO4MQ,ZW060302,ZW06,,,,,192.168.10.1,Ophid,RDC,Government,Rural,,
Masvingo,Chiredzi,Chiredzi,Malipati Rural Health Centre,Malipati - 100861 - Rural Health Centre,pnbUOG9jvyE,ZW080207,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Malisa Joshepha Clinic,Malisa Josefa - 100863 - Clinic,A2VmYuwHVAw,ZW070527,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Midlands,Kwekwe,Kwekwe,Malisa Zhombe Clinic,Malisa Zhambe - 100862 - Clinic,eTmhzfynWbq,ZW070528,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,
Matabeleland South,Mangwe,Mangwe,Mambale Clinic,Mambale - 100864 - Clinic,CoCGCYaDyfm,NICOLE,NICO,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Manicaland,Mutare,Mutare,Mambwere Clinic,Mambwere - 100865 - Clinic,PMjhk9KezDp,ZW010530,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Gwanda,Gwanda,Manama Mission Hospital,Manama - 100867 - Mission Hospital,fqYJ8EfOnTe,ZW06030B,ZW06,,,,,192.168.10.1,Ophid,Mission Hospital,Mission,Rural,,
Masvingo,Chivi,Chivi,Mandamabwe Rural Health Centre,Mhandamabwe - 101011 - Rural Health Centre,d507u4dhfug,ZW080303,ZW08,,,,,10.39.14.3,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Masvingo,Zaka,Zaka,Mandhloro Clinic,Madhloro Clinic,DOzFx349RDV,ZW080741,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Mangidi Clinic,Mangidi - 100871 - Clinic,Jt1CGWaXQsq,ZW070332,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,
Midlands,Gweru,Gweru,Mangwandi Rural Health Centre,Mangwande - 100872 - Clinic,XdDKGCXjiWo,ZW070403,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,
Matabeleland South,Mangwe,Mangwe,Maninji Clinic,Maninji - 101914 - Clinic,AxbWlACKfun,ZW060734,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Midlands,Gokwe South,Gokwe South,Manoti Clinic,Manoti - 100874 - Clinic,fH3XHnD9BCh,ZW070333,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Mashonaland West,Makonde,Makonde,Manyamba Rural Health Centre,Manyamba - 100875 - Clinic,EeHMROYRaAD,ZW040487,ZW04,,,,,,,RHC,Government,Rural,Primary,Open
Mashonaland East,UMP,UMP,Manyika Clinic,Manyika - 100879 - Clinic,TQwkaKG3kHj,ZW030330,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mash West,Mhondoro,Mhondoro,Manyoni - 100881 - Council Clinic,Manyoni - 100881 - Council Clinic,uJ2HduiQxeK,ZW040505,ZW04,,,,,,ZIMTTECH,,,,,
Midlands,Gokwe South,Gokwe South,Manyoni Clinic,Manyoni - 100880 - Clinic,DatBlAwahyx,ZW070393,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Masvingo,Masvingo,Masvingo,Mapanzure Clinic,Mapanzure - 100884 - Clinic,yPQXMrWCQ8C,ZW080528,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,RDC,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Maphisa District Hospital,Maphisa - 100890 - District Hospital,qwnyqPsOoCT,ZW06050A,ZW06,,,,,,Ophid,District Hospital,Government,Rural,,
Mashonaland West,Zvimba,Zvimba,Mapinga RDC Clinic,Mpinga Clinic - 101043 - Clinic,NcZpdLLxlKu,ZW040783,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Peri-Urban,Primary,RURAL
Bulawayo,Nkulumane,Bulawayo,Maqhawe Clinic,Maqhawe - 100893 - Clinic,ikrpWZKIaxV,ZW090A33,ZW09,,,,,10.9.13.3,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Mashonaland East,UMP,UMP,Maramba Clinic,Maramba - 100894 - Clinic,py2bD2jkCI0,ZW030331,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Masvingo,Mwenezi,Mwenezi,Maranda Clinic,Maranda Clinic,SmaTd211zbm,ZW080691,ZW08,,,,,,,RHC,Mission,Rural,Secondary,Open
Masvingo,Mwenezi,Mwenezi,Maranda Sub Rural Health Centre,Maranda -101865 -Sub-Clinic,mtHydPyChpG,ZW080604,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Marange Rural Hospital,Marange - 100896 - Rural Hospital,Yb75x5mU1gC,ZW01050E,ZW01,,,,,10.20.9.3,ZHI,Rural Hospital,Government,Rural,Secondary,Open
Mashonaland East,UMP,UMP,Marembera Rural Health Centre,Marembera - 100897 - Rural Health Centre,VYh7ERb4cm8,ZW030304,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Masvingo,Mwenezi,Mwenezi,Marinda Clinic,Marinda - 100898 - Rural Health Centre,YY58oZC8vq5,ZW080632,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland East,Seke,Seke,Marirangwe Clinic,Marirangwe - 100899 - Clinic,Ai2GEHQJ2iq,ZW030924,ZW03,,,,,10.79.30.2,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland East,Marondera,Marondera,Marondera Rural Council Clinic,Marondera - 100902 - Rural Clinic,e7yLZBqvLeh,ZW030528,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Urban,clinic,Active
Matabeleland South,Mangwe,Mangwe,Marula Clinic,Marula - 100910 - Clinic,HYNPD4P3JyV,ZW060705,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland West,Hurungwe,Hurungwe,Masanga Rural Health Centre,Masanga - 100913 - Gvt Clinic,k8PBGr2DIPd,ZW040205,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland East,Seke,Seke,Masasa Rural Health Centre,Masasa - 100917 - Rural Health Centre,JDRHYfbYFJE,ZW030905,ZW03,,,,,,ZIMTTECH,RHC,Government,Rural,clinic,Active
Midlands,Mberengwa,Mberengwa,Masase Mission Hospital,Masase - 100918 - Mission Hospital,RXaYWmsAjhs,ZW07060D,ZW07,,,,,,,Mission Hospital,Mission,Rural,Primary,Open
Manicaland,Mutare,Mutare,Masasi Clinic,Masasi - 100919 - Clinic,QMHTxq1jwsv,ZW010531,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Masendu Clinic,Masendu - 100921 - Clinic,twOU9Qka6Hm,ZW060235,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland East,UMP,UMP,Mashambanhaka Clinic,Mashambanhaka - 100924 - Clinic,tNoou36Gm6h,ZW030332,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Mission,Rural,clinic,Active
Mash West,Hurungwe,Hurungwe,Mashongwe Clinic,Mashongwe - 100927 - Council Clinic,a1H9jKObOE1,ZW040247,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland East,Marondera,Marondera,Masikana Council Clinic,Masikana - 100929 - Clinic,aFOZQYiMlJL,ZW030525,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland East,Goromonzi,Goromonzi,Masikandoro Clinic,Masukandoro - 100936 - Clinic,xfCa24E9UuT,ZW030228,ZW03,,,,,,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mash West,Zvimba,Zvimba,Masiyarwa RDC Clinic,Masiyarwa - 100931 - Council Clinic,p46ydQFsxfx,ZW040725,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,RURAL
Matabeleland South,Matobo,Matobo,Masiye Clinic,Masiye Camp - 100932 - Clinic,mgxlglCseF4,ZW060593,ZW06,,,,,192.168.10.1,Ophid,Mission Clinic,Mission,Rural,,
Mashonaland Central,Mbire,Mbire,Masoka Clinic,Masoka - 100933 - Clinic,opbhiJq49ON,ZW020801,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Masomo Clinic,Masomo - 100934 - Clinic,JMhCZEU8ORd,ZW020802,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Masuka Clinic,Masuka - 100935 - Clinic,O4s37nmNxxd,ZW070334,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,
Masvingo,Masvingo,Masvingo,Masvingo Provincial Hospital,Masvingo - 100937 - General Hospital,OwDR7D9U5Iq,ZW08050A,ZW08,,,,,,,Hospital,Govt,Urban,Tertiary,Open
Midlands,Gweru,Gweru,Masvori,Masvori - 100940 - Clinic,XJoYREEPF4o,ZW070404,ZW07,,,,,,ZHI,,,,,
Manicaland,Makoni,Makoni,Masvosva Rural Health Centre,Masvosva - 100941 - Rural Health Centre,gmCfw2czWHi,ZW010412,ZW01,,,,,,,RHC,Government,Rural,Primary ,Open
Midlands,Mberengwa,Mberengwa,Mataga Rural Health Centre,Mataga - 100942 - Rural Health Centre,iTw40m40wuw,ZW070602,ZW07,,,,,,ZHI,RHC,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Matanda Clinic,Matanda - 100943 - Rural Health Centre,RrRf8znKPaf,ZW010520,ZW01,,,,,,,RDC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Mataruse Clinic,Mataruse - 100945 - Clinic,WXuXiKIOPTi,ZW080438,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Matedzi,Matedzi - 100947 - Clinic,DHlTNsaO7Yr,ZW070630,ZW07,,,,,,ZHI,,,,,
Matabeleland North,Nkayi,Nkayi,Mateme Rural Health Centre,Mateme - 100949 - Rural Health Centre,k55ILJNLfNh,ZW050502,ZW05,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Mateta Rural Health Centre,Mateta - 100951 - Rural Health Centre,EwHQN1F5qHJ,ZW070306,ZW07,,,,,,,RHC,Government,Rural,Primary,
Masvingo,Mwenezi,Mwenezi,Matibi Mission Hospital,Matibi - 100952 - Mission Hospital,rGj6vwocIr0,ZW08060B,ZW08,,,,,10.39.33.5,OPHID/Kapinek,Mission Hospital,Mission,Rural,Secondary,Open
Masvingo,Gutu,Gutu,Matizha Rural Health Centre,Matizha - 100954 - Clinic,onzEz7OrfEc,ZW080403,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Matjinge Rural Health Centre,Matjinge - 100955 - Rural Health Centre,ofDSu93XYEs,ZW060206,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Mashonaland Central,Mt Darwin,Mt Darwin,MATOPE,Matope - 100958 - Clinic,Kw1zFMl53yn,ZW020532,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Matopo Mission Clinic,Matobo - 100956 - Mission Clinic,gri4bmtWbqG,ZW060591,ZW06,,,,,192.168.10.1,Ophid,Mission Clinic,Mission,Rural,,
Matabeleland South,Matobo,Matobo,Matopo Rural Hospital,Matobo Rural - 100957 - Rural Hospital,f3mLKel2gIx,ZW06050C,ZW06,,,,,,Ophid,Rural Hospital,Government,Rural,,
Mash West,Makonde,Makonde,Matoranjera RDC Clinic,Matorangera - 100959 - Clinic,rJjtWK8iPOW,ZW040447,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Manicaland,Makoni,Makoni,Matsika Clinic,Matsika - 100962 - Clinic,z3QmTgqAP04,ZW010430,ZW01,,,,,,,RDC,Rural Council,Rural,Primary ,Open
Mashonaland East,Murewa,Murewa,Matututu Clinic,Matututu - 100964 - Rural Health Centre,h3HNN5Uo4Wt,ZW030731,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Manicaland,Makoni,Makoni,Maurice Nyagumbo Clinic,Maurice Nyagumbo - 100965 - Clinic,hcyuAxmkOqu,ZW010438,ZW01,,,,,,,RHC,Government,Rural,Primary ,Open
Manicaland,Mutare,Mutare,Mavhiza Clinic,Mavhiza - 100966 - Clinic,arab3YkysoL,ZW010503,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Mavorovondo Rural Health Centre,Mavorovondo - 100968 - Rural Health Centre,yzbqtmKSajN,ZW070603,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,Open
Matabeleland South,Umzingwane,Umzingwane,Mawabeni Clinic,Mawabeni - 100969 - Clinic,BryKgdfmnnU,ZW060627,ZW06,,,,,10.84.25.3,Ophid,RDC,Rural Council,Rural,,
Matabeleland South,Mangwe,Mangwe,Mayobodo Rural Health Centre,Mayobodo - 100972 - Rural Health Centre,RJnzhQ3jWs2,ZW060707,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Midlands,Kwekwe,Kwekwe,Mayorca,Mayoka - 100973 - Rural Health Centre,q2PCmYuFLcy,ZW070509,ZW07,,,,,,ZHI,,,,,
Mashonaland Central,Mazowe,Mazowe,MAZ CITRUS,Mazowe Citrus Hosp. - 100981 - Rural Hospital,PuBmgTRc6cO,ZW02040D,ZW02,,,,,,ZIMTTECH,RHC,Pvt,Farming,Primary,Open
Mashonaland Central,Mazowe,Mazowe,MAZ MINE,Mazowe - 100982 - Mine Clinic,UHEApkHNETl,ZW020477,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Pvt,Mining,Primary,Open
Mashonaland Central,Mazowe,Mazowe,MAZ SEC,Mazowe Secondary Clinic,rIRI3UUrG9u,ZW020486,ZW02,,,,,,ZIMTTECH,RHC,Mission,Farming,Primary,Open
Midlands,Kwekwe,Kwekwe,Mazebe Rural Health Centre,Mazebe - 100975 - Rural Health Centre,QwFhomr6Alo,ZW070503,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,
Masvingo,Mwenezi,Mwenezi,Mazetese Clinic,Mazetese - 100976 - Clinic,cryqOuYCTo9,ZW080625,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Maziofa,Mazivofa - 100978 - Clinic,MQblsJGrTBd,ZW070631,ZW07,,,,,,ZHI,,,,,
Masvingo,Gutu,Gutu,Mazuru Clinic,Mazura - 100985 - Clinic,AGkV135CYcT,ZW080429,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Matabeleland North,Umguza,Umguza,Mbembesi Rural health Centre,Mbembesi - 100989 - Rural Health Centre,Aj4vatSkbng,ZW050733,ZW05,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Mbembeswane Clinic,Mbembeswana - 100991 - Rural Health Centre,lXWXq7pvXNr,ZW060525,ZW06,,,,,192.168.10.1,Ophid,RDC,Town/City Council,Rural,,
Midlands,Mberengwa,Mberengwa,Mberengwa District Hospital,Mberengwa -101874 - District Hospital,rbE4iLAquiP,ZW07060A,ZW07,,,,,192.168.10.1,ZHI,District Hospital,Government,Rural,Secondary,Open
